trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
59,False,"{'a': 0.5, 'e': 0.5526834771623851}",25,2,-78.73610539672491,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 1}",1
60,False,"{'a': 0.5, 'e': 0.5471566423907612}",30,16,-27.854804478985724,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.5416850759668536}",25,0,-99.08891284413333,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
62,False,"{'a': 0.5, 'e': 0.536268225207185}",25,0,-0.7415364676425424,"{0: 22, 1: 2, 2: 0, 3: 1, 4: 0}",0
63,False,"{'a': 0.5, 'e': 0.5309055429551132}",25,0,-13.37059616050957,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
64,False,"{'a': 0.5, 'e': 0.525596487525562}",20,9,-6.9698048363819325,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.5203405226503064}",30,15,-4.862946277115693,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.5151371174238033}",20,0,-6.794527072720203,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
67,False,"{'a': 0.5, 'e': 0.5099857462495653}",20,0,17.66756744815725,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
68,False,"{'a': 0.5, 'e': 0.5048858887870696}",20,0,-44.980210854919925,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
69,False,"{'a': 0.5, 'e': 0.4998370298991989}",20,0,-102.89104764885897,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
70,False,"{'a': 0.5, 'e': 0.49483865960020695}",25,3,-44.51092592310305,"{0: 16, 1: 0, 2: 5, 3: 1, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.4898902730042049}",20,0,-36.4044947656142,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
72,False,"{'a': 0.5, 'e': 0.48499137027416284}",25,3,-50.57267053800984,"{0: 17, 1: 2, 2: 1, 3: 1, 4: 1}",1
73,False,"{'a': 0.5, 'e': 0.4801414565714212}",30,18,12.063103296692972,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.475340042005707}",20,6,-27.2616249761068,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
75,False,"{'a': 0.5, 'e': 0.47058664158564995}",35,16,0.4353021891262603,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.4658807751697934}",25,2,-66.92761728468956,"{0: 17, 1: 3, 2: 0, 3: 2, 4: 1}",1
77,False,"{'a': 0.5, 'e': 0.4612219674180955}",20,14,9.69003382570191,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.45660974774391455}",20,9,5.548712570230599,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.4520436502664754}",25,0,35.636680203694695,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
80,False,"{'a': 0.5, 'e': 0.44752321376381066}",20,10,-35.38830143420841,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
81,False,"{'a': 0.5, 'e': 0.44304798162617254}",30,17,-5.435238461882057,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
82,False,"{'a': 0.5, 'e': 0.4386175018099108}",25,0,-90.85227716291551,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
83,False,"{'a': 0.5, 'e': 0.4342313267918117}",20,4,7.86372149533929,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.4298890135238936}",20,0,-103.86335658172399,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
85,False,"{'a': 0.5, 'e': 0.42559012338865465}",20,0,30.789729686799088,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
86,False,"{'a': 0.5, 'e': 0.4213342221547681}",25,10,20.831712118140057,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.5, 'e': 0.41712087993322045}",25,0,-84.92413094701183,"{0: 17, 1: 4, 2: 1, 3: 2, 4: 1}",0
88,False,"{'a': 0.5, 'e': 0.41294967113388825}",20,0,8.350581821021352,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
89,False,"{'a': 0.5, 'e': 0.40882017442254937}",20,0,-56.35303065435724,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
